"12","X {réunir/unir/rassembler/grouper/regrouper/collecter}  (DET)  Y","Genre des Parties","Parties de même genre","passage au Polarstern allemand. Celui-ci étudie les ondes sismiques provoquées par un canon à air comprimé afin de cartographier les couches rocheuses sous le plancher océanique. Les deux navires collectent données et échantillons avec des instruments forgés spécialement pour cette mission et capables de percer la glace pour s'enfoncer dans l'eau","Plutôt non","collecter des données","FR/Volcan/Vulgarisation/corpusFR"," collectent","",""
"13","X {réunir/unir/rassembler/grouper/regrouper/collecter}  (DET)  Y","Genre des Parties","Parties de même genre","enveloppe externe de la Terre, celle sur laquelle nous vivons, est constituée d'un petit nombre de plaques rigides, de taille très variable, certaines de ces plaques rassemblant à la fois des continents et des planchers océaniques. Les plaques se déplacent les unes par rapport aux autres, à des","Oui","termes du domaine. Pprésent. Déterminant présent","FR/Volcan/Vulgarisation/corpusFR","rassemblant","continents et planchers océaniques","plaques"
"14","X {réunir/unir/rassembler/grouper/regrouper/collecter}  (DET)  Y","Genre des Parties","Parties de même genre","En bordure de mer, sur les coulées de lave, prolifèrent les guillemots. Au centre de l'île, sur la partie plane, la plus importante des colonies rassemble trois sortes de goélands. Enfin, depuis deux ans, on aperçoit régulièrement un couple de corbeaux dans le grand cratère","Plutôt oui","la colonie de guillemot (espèce d'oiseau). Cette relation est-elle intéressante ?","FR/Volcan/Vulgarisation/corpusFR","rassemble","trois sortes de goélands","colonies (de guillemots)"
"15","X {réunir/unir/rassembler/grouper/regrouper/collecter}  (DET)  Y","Genre des Parties","Parties de même genre","à partir de l'embarcadère des "" aliscafi "", trente-cinq minutes de traversée permettent de gagner l'île d'Ischia située à 33 kilomètres de la côte napolitaine. Ischia rassemble sur 46 kilomètres carrés plus de quarante édifices volcaniques : vous n'aurez que l'embarras du choix pour vos randonnées. ","Oui","les édifices volcaniques font partie de l'ile","FR/Volcan/Vulgarisation/corpusFR","rassemble","plus de quarante édifices volcaniques","Ischia (nom d'une ile)"
"16","X {réunir/unir/rassembler/grouper/regrouper/collecter}  (DET)  Y","Genre des Parties","Parties de même genre","intéressent, faites un détour par 'observatoire, en redescendant vers la plaine. Sur la route, une bifurcation y mène. Au rez-de-chaussée du bâtiment, un musée regroupe de splendides pièces , du premier sismographe électromagnétique, construit en 1856, qui enregistra pour la première fois des secousses non ressenties","Plutôt non","pas très intéressant ! Relation musée/pièces","FR/Volcan/Vulgarisation/corpusFR","regroupe","pièces","musée"
"17","X {réunir/unir/rassembler/grouper/regrouper/collecter}  (DET)  Y","Genre des Parties","Parties de même genre","prendre. Nous pensons aussi à ces phénomènes naturels que l'on appelle geysers, fleuves de boue, solfatares... Pour répondre à notre curiosité, Maurice Krafft a réuni nos principales interrogations. En volcanologue qui passe chaque année plusieurs mois sur les "" montagnes de feu "", il nous fait participer à la","Non","avec un nom propre. Pas de lien de méronymie","FR/Volcan/Vulgarisation/corpusFR","réuni nos principales interrogations. En volcanologue","",""
"18","X {réunir/unir/rassembler/grouper/regrouper/collecter}  (DET)  Y","Genre des Parties","Parties de même genre","de Clermont-Ferrand, l'alignement des volcans témoigne ainsi de la dérive lente mais persistante de la plaque européenne (au-dessus du point chaud). La chaîne des Puys regroupe une centaine de volcans dans un axe nord-sud. 80 d'entre eux sont des cônes de scories de type strombolien résultant chacun d'une éruption unique","Oui","termes du domaine. Pprésent. Déterminant présent","FR/Volcan/Vulgarisation/corpusFR","regroupe une centaine de volcans dans un axe","une centaine de volcans","chaîne des puys"
"20","{réunir/unir/rassembler/grouper/regrouper/collecter}  DET  Y  {en/dans/sur} DET  X","GENRE DES PARTIES","Parties de même genre","23 %) de 20 à 50, 11 (14 %) de 50 à 100, 6 (7 %) plus de 100. Nous avons empiriquement regroupé ces réponses en trois catégories : groupe A à faible activité avec moins de 20 cancers par an (45, soit 55 %)","Plutôt non","LST","FR/Cancer du sein/Scientifique/page12","regroupé","",""
"21","{réunir/unir/rassembler/grouper/regrouper/collecter}  DET  Y  {en/dans/sur} DET  X","GENRE DES PARTIES","Parties de même genre","seul volcan du massif de l’Ampato-Sabancaya-Hualca qui a une activité historique connue ; il domine directement les piémonts étudiés ici. Thouret et al. (1994) ont rassemblé les données relatives à l’activité volcanique post-glaciaire dans ce massif ; elle est limitée en principe à celle du Nevado Sabancaya et résumée ci-après.","Non","des personnes rassemblent des données","FR/Volcan/Scientifique/quat1","rassemblé","",""
"22","{réunir/unir/rassembler/grouper/regrouper/collecter}  DET  Y  {en/dans/sur} DET  X","GENRE DES PARTIES","Parties de même genre","compositions minéralogique et géochimique des téphras sont très similaires et ne permettent pas de les identifier individuellement. Afin de pallier ce problème, il s’est avéré utile de regrouper les téphras sur la base de leurs compositions minéralogique et géochimique. Cette démarche a permis de cor-réler les deux carottes lacustres entre elles,","Non","sur la base de : critère de regroupement","FR/Volcan/Scientifique/quat2","regrouper","",""
"23","{réunir/unir/rassembler/grouper/regrouper/collecter}  DET  Y  {en/dans/sur} DET  X","GENRE DES PARTIES","Parties de même genre","des vitesses comprises entre 15 et 30 km / h. Nous remontons à pied la rivière O'Donnell sur plusieurs kilomètres. En aval, des pierres ponces sont collectées, emballées dans des sacs et emportées sur des charrettes tractées par des zébus. Elles serviront à décolorer des jeans. à 12 km du sommet, nous sommes","Plutôt non","emballer dans des sacs. Un peu vaguepas vraiment pertinenttriplet incomplet","FR/Volcan/Vulgarisation/corpusFR","collectées, emballées","pierres ponces","sac"
"24","X  {être/résulter de/(être) issu de}  DET défini {ensemble/groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","On parle de dispositif d'annonce. Ce dispositif est un ensemble de moments spécifiques réservés à l'annonce du diagnostic, du choix des traitements ou d'une récidive.","Plutôt oui","dispositif d'annonce : correspond à plusieurs moments/phases","FR/Cancer du Sein/Vulgarisation/page16","est un ensemble de","moments spécifiques réservés à l'annonce du diagnostic","dispositif d'annonce"
"25","X  {être/résulter de/(être) issu de}  DET défini {ensemble/groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","Les bisphosphonates sont un groupe de médicaments généralement utilisés pour lutter contre l'ostéoporose qui affaiblit les os et augmente le risque de fractures spontanées.","Plutôt oui","CTmarqueur polysémiqueHypero/méroLien entre les ensembleshypero plutôt, donc inversion X et Y","FR/Cancer du Sein/Vulgarisation/page58","sont un groupe de","bisphosphonates","médicaments"
"26","X : {amalgame/mélange/agrégat/complexe/fédération} de DET Y","GENRE DES PARTIES","Parties de genre différent","En ce qui concerne le mélange et les associations synchrones de magma basique ou intermédiaire et de magma acide, on peut citer les quelques exemples suivants : mélange de magmas andésitique et rhyolitique au Novarupta (Katmaï, Alaska ; CURTIS, 1968), andésitique et dacitique au Lassen Peak (Cascade Range, Californie ; Macdonald et Katsura, 1965), basaltique et trachytique quartzifère au Tejeda","Plutôt non","exemple = ""mélange et associations synchrones…"" précédemment évoqué"". ""exemple"" n'est pas composé des ""magmas andésitiques"" etc","FR/Volcan/Scientifique/10",": mélange de","",""
"27","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","Nous avons empiriquement regroupé ces réponses en trois catégories : groupe A à faible activité avec moins de 20 cancers par an (45, soit 55 %), groupe B à activité moyenne avec 20 à 50 cancers annuels (19, soit 23 %), groupe C à forte activité avec plus de 50 cancers par an ","Non","correspond au nom du groupe, pas à la dénomination de la partie. Hyperonymie / co-hyponymie ?","FR/Cancer du sein/Scientifique/page12",": groupe","",""
"28","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","• l'étude du GIVIO [1] porte sur 1320 patientes, suivies pendant six ans (suivi médian : 71 mois) randomisées entre deux types de surveillances : groupe témoin ou groupe intensif. Toutes ont eu une surveillance clinique tous les trois mois pendant deux ans, puis","Non","nom du groupe, pas dénomination de la partie","FR/Cancer du sein/Scientifique/page505",": groupe","",""
"29","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","Ces données ont été officialisées par deux réunions d'experts : la réunion organisée à Lyon par la Société française de sénologie et de pathologie mammaire en 1991, et une conférence de","Non","hyperonymie ?. co-hyponymie","FR/Cancer du sein/Scientifique/page505",": la réunion","",""
"30","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","bilan : ensemble d'examens médicaux qui évaluent l'état de santé d'une personne à un moment donné. ","Oui","","FR/Cancer du sein/Vulgarisation/page16",": ensemble","examens médicaux","bilan"
"31","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","bilan diagnostique : ensemble d'examens médicaux qui ont pour but de déterminer si le patient a un cancer et si tel est le cas, d'identifier le type de cancer.","Oui","polysémique : relation d'hyperonymie ?","FR/Cancer du sein/Vulgarisation/page16",": ensemble","examens médicaux","bilan diagnostique"
"32","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","cancer : ensemble de cellules anormales qui se multiplient de façon incontrôlée. ","oui","","FR/Cancer du sein/Vulgarisation/page16",": ensemble","cellules anormales","cancer"
"33","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","éducation thérapeutique : ensemble d'actions proposées aux patients tout au long d'une maladie. Ces actions ont pour but d'aider les","Oui","","FR/Cancer du sein/Vulgarisation/page16",": ensemble","actions proposées aux patients","éducation thérapeutique"
"34","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","plan thérapeutique : ensemble de différents traitements réalisés dans un ordre bien défini. ","Oui","","FR/Cancer du sein/Vulgarisation/page16",": ensemble","différents traitements","plan thérapeutique"
"35","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","programme personnalisé de soins / PPS : ensemble des traitements, bilan et programmation détaillée à l'aide d'un agenda proposé au patient. ","Oui","","FR/Cancer du sein/Vulgarisation/page16",": ensemble","traitements, bilan et programmation détaillée","Programme personnalisé de soins (PPS)"
"36","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","tissu : ensemble de cellules qui ont une même fonction (tissu musculaire ou tissu osseux par exemple).","Oui","","FR/Cancer du sein/Vulgarisation/page16",": ensemble","cellules qui ont une même fonction","tissu"
"37","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","Patrimoine génétique : ensemble des caractéristiques d'un individu héritées de ses parents. Celles-ci sont transmises par les gènes. ","Oui","","FR/Cancer du sein/Vulgarisation/page22",": ensemble","caractéristiques d'un individu héritées de ses parents","patrimoine génétique"
"38","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","Tissu : ensemble de cellules qui ont une même fonction (tissu musculaire, tissu osseux par exemple).","Oui","","FR/Cancer du sein/Vulgarisation/page22",": ensemble","cellules qui ont une même fonction","tissu"
"39","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","bassin : ensemble des os de la partie inférieure de l'abdomen, articulé avec les jambes.","oui","","FR/Cancer du sein/Vulgarisation/page23",": ensemble","os de la partie inférieure de l'abdomen","bassin"
"40","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","bilan : ensemble d'examens médicaux qui évalue l'état de santé d'une personne. ","Oui","","FR/Cancer du sein/Vulgarisation/page23",": ensemble","examens médicaux","bilan"
"41","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","éducation thérapeutique : ensemble d'actions proposé aux patients tout au long d'une maladie. ","Oui","","FR/Cancer du sein/Vulgarisation/page23",": ensemble","actions proposées aux patients","éducation thérapeutique"
"42","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","plan thérapeutique : ensemble de différents traitements réalisés dans un ordre bien défini (par exemple, une chirurgie peut être suivie d'une chimiothérapie).","Oui","","FR/Cancer du sein/Vulgarisation/page23",": ensemble","différents traitements","plan thérapeutique"
"43","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","stade : ensemble des informations sur la taille de la tumeur, l'envahissement des ganglions et la présence éventuelle de métastases.","Oui","","FR/Cancer du sein/Vulgarisation/page23",": ensemble","informations sur la taille de la tumeur, l'envahissement des ganglions, la présence éventuelle de métastases","stade"
"44","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","tissu : ensemble de cellules qui ont une même fonction (tissu musculaire, tissu osseux par exemple). ","Oui","","FR/Cancer du sein/Vulgarisation/page23",": ensemble","cellules","tissu"
"45","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","L'année 1983 vit se succéder deux événements majeurs : une réunion extraordinaire de la Société géologique de France et une école d'été sur le risque sismique à Pointe-à-Pitre. ","Non","relation d'hyperonymie","FR/Volcan/Scientifique/geo14",": une réunion","co-hyponymes : réunion extraordinaire… et école d'été…","hyperonyme : événements majeurs"
"46","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","(Mg, Fes +) (AI, Cr, Fe3 +) 204] et enfin du plagioclase [NaAISi3Os) - (CaAI2Si208)]. Intrusions : Ensemble de roches grenues issues de la cristallisation d’un magma au sein d’une cavité, appelée chambre magmatique.","Oui","polysémique : relation d'hyperonymie aussi ?","FR/Volcan/Scientifique/geo8",": Ensemble","roches grenues issues de la cristallisation d'un magma","intrusions"
"47","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre"," Carte d'échantillonnage ; LMG : andésites pauvres en magnésium ; AAD : groupe des andésites ; CAK : laves calco-alcalines potassiques ; 1 : caldera d'effondrement présentant un surcreusement glaciaire ; ","Non","association ?","FR/Volcan/Scientifique/geomateriaux3",": groupe","",""
"48","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","L’archipel s’étire sur une distance de 600 km et une largeur voisine de 200 km. Selon leur proximité, les îles forment trois groupes distincts : le groupe occidental avec Flores et Corvo ; le groupe central, dont la géométrie évoque un losange aplati, inclut Graciosa, Terceira, Sâo Jorge, Faial et Pico ; enfin le groupe oriental se compose de São Miguel, Santa Maria et des îlots Formigas (figure 1).","Non","pas dénomination de la partie.hyponymie ?","FR/Volcan/Scientifique/lave10",": le groupe","",""
"49","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre"," L’étude détaillée de la bathymétrie du Plateau des Açores a permis de caractériser au moins deux types de structures volcaniques (Lourenço et al., 1998) : Les Rides Volcaniques Linéaires (R. V. L.) : ensembles d’alignements de volcans disposés selon une direction ouest / nord-ouest est / sud-est dominante. ","Oui","","FR/Volcan/Scientifique/lave10",": ensembles","alignements de volcans","les Rides Volcaniques Linéaires (R.V.L) "
"50","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre","La seconde voie, plus traditionnelle, bien que très technique, est celle retenue par les Européens pour leur VLT : un ensemble unique de quatre télescopes de 8, 2 mètres de diamètre chacun qui, lorsqu'ils seront pointés sur une","Non","explication ","FR/Volcan/Vulgarisation/corpusFR",": un ensemble","",""
"51","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre"," Titre de l'article : Réunion au sommet Auteur : ANDRE JEAN LOUIS BOURG-MURAT BIEN sûr, il y a des plages. Des noires,","Non","annonce la suite. Réunion : en tant que nom par partie du marqueur","FR/Volcan/Vulgarisation/corpusFR",": Réunion","",""
"52","X   :  (DET) {ensemble/ groupe/classe/réunion/famille/collection}  de DET  Y","GENRE DES PARTIES","Parties de même genre",", comme ambassadeur du roi d'Angleterre à la cour du royaume des Deux-Siciles, position qu'il occupe jusqu'en 1800. Il se consacre à ses deux passions : sa collection d'objets d'art, en particulier de vases grecs, et l'étude du Vésuve, qu'il observe","Non","hypero ?","FR/Volcan/Vulgarisation/corpusFR",": sa collection","",""
"53","Y être {amalgamé/mélangé/agrégé/fédéré} dans DET X","GENRE DES PARTIES","Parties de genre différent","L'augite y atteint jusqu'à 12 % des minéraux lourds. Elle y est étroitement associée à des sphérolites pyriteux « isolés ou en grappe » [2] qui sont agrégés en grand nombre dans la base de la série où les taux d'augite sont les plus élevés et où l'olivine est présente.","Plutôt oui","au moins un terme du domaine ?","FR/Volcan/Scientifique/volcanismePliocene2","sont agrégés en grand nombre dans","sphérolites pyriteux « isolés ou en grappe »","la base de la série"
"54","Y être {amalgamé/mélangé/agrégé/fédéré} dans DET X","GENRE DES PARTIES","Parties de genre différent","Gaz et laves, avant d'être irréversiblement séparés par l'éruption, sont intimement mélangés dans un liquide plus ou moins cristallisé. ","Oui","CT","","sont intimement mélangés dans","Gaz et laves","un liquide plus ou moins cristallisé"
"55","X {être/résulter de/issu de} DET {amalgame/mélange/agrégat/complexe/fédération} de DET Y","GENRE DES PARTIES","Parties de genre différent","Ici l’originalité réside dans la lave initiale qui est un mélange émulsionné, à différentes échelles, de basaltes et de trachyandésites ; la fragmentation puis la pulvérisation, qui se","Oui","termes du domaine","FR/Volcan/Scientifique/29","est un mélange","basaltes et trachyandésites","lave initiale"
"56","X {être/résulter de/issu de} DET {amalgame/mélange/agrégat/complexe/fédération} de DET Y","GENRE DES PARTIES","Parties de genre différent","Le mont Manengouba est un complexe volcanique polygénique de la Ligne du Cameroun édifié au Quaternaire, entre 1, 55 et 0 Ma, en  trois phases principales.","Non","Relation d'hyperonymie. complexe volcanique = candidat-terme","FR/Volcan/Scientifique/autre2","est un complexe","",""
"57","X {être/résulter de/issu de} DET {amalgame/mélange/agrégat/complexe/fédération} de DET Y","GENRE DES PARTIES","Parties de genre différent","Le mont Manengouba est un complexe volcanique semblable aux autres complexes de la Ligne du Cameroun. ","Non","Relation d'hyperonymie. complexe volcanique = candidat-terme","FR/Volcan/Scientifique/autre2","est un complexe","",""
"58","X {être/résulter de/issu de} DET {amalgame/mélange/agrégat/complexe/fédération} de DET Y","GENRE DES PARTIES","Parties de genre différent","Les lahars résultent de l’écoulement sur les pentes et dans le fond des vallées d’un volcan, de débris de roches diverses, mobilisés par l’eau. Leur dynamique est donc celle d’un liquide dense, mu par la seule force de gravité. Le dépôt qui en résulte est un mélange de blocs, de cendres et / ou d’argiles. Les lahars peuvent provenir du glissement des cendres déposées","Oui","avec candidat-termes","FR/Volcan/Scientifique/geo2","est un mélange","blocs, cendres, argiles","dépôt"
"59","X {être/résulter de/issu de} DET {amalgame/mélange/agrégat/complexe/fédération} de DET Y","GENRE DES PARTIES","Parties de genre différent","NUÉES ARDENTES — Les nuées ardentes sont un mélange de blocs, de cendres et gaz en quantité variable, qui s’écoule et déferle sur les flancs et","Oui","avec candidat-termes","FR/Volcan/Scientifique/geo2","sont un mélange","blocs, cendres et gaz","nuées ardentes"
"60","X {être/résulter de/issu de} DET {amalgame/mélange/agrégat/complexe/fédération} de DET Y","GENRE DES PARTIES","Parties de genre différent","Au cours du Pliocène inférieur, Santa Maria connaît une seconde phase volcanique importante qui érige la partie orientale de l’île : c’ est le complexe de Pico Alto, dont l’âge est compris entre 4, 5 et 3, 5 Ma. Le","Non","nom du complexe, candidat-terme","FR/Volcan/Scientifique/lave10","est le complexe","",""
"61","X {être/résulter de/issu de} DET {amalgame/mélange/agrégat/complexe/fédération} de DET Y","GENRE DES PARTIES","Parties de genre différent","l’ouvrage de référence de Gonzâles-Ferrân (1994). Le volcan Lonquimay (38° 22 ’S - 71° 35 ’W - 2865m) Le Lonquimay est un complexe éruptif d’âge Pléistocène supérieur et Holocène, situé à 60 km au nord-ouest du lac Icalma (Moreno &","Non","Relation d'hyperonymie. complexe éruptif = candidat-terme","FR/Volcan/Scientifique/quat2","est un complexe","",""
"62","X {être/résulter de/issu de} DET {amalgame/mélange/agrégat/complexe/fédération} de DET Y","GENRE DES PARTIES","Parties de genre différent","Le magma est un mélange , en proportions variables, suivant les conditions de température et de pression, de cristaux et d'une phase fluide.","Oui","avec candidat-termes","FR/Volcan/Vulgarisation/corpusFR","est un mélange","pression, cristaux et une phase fluide","magma"
"63","X {être/résulter de/issu de} DET {amalgame/mélange/agrégat/complexe/fédération} de DET Y","GENRE DES PARTIES","Parties de genre différent","La lave est un mélange de roches fondues qui renferme toujours de la vapeur d'eau, des gaz, de la silice (constituant principal du verre), etc. ","Oui","avec candidat-termes","FR/Volcan/Vulgarisation/corpusFR","est un mélange","roches fondues","lave initiale"
"64","X {être/résulter de/issu de} DET {amalgame/mélange/agrégat/complexe/fédération} de DET Y","GENRE DES PARTIES","Parties de genre différent","Typiquement, un magma est un mélange complexe de trois phases : une phase liquide, prépondérante ; une phase gazeuse, dissoute dans la phase liquide, dissoute dans la phase liquide tant que les pressions restent suffisantes ; et une phase solide, constituée de cristaux en suspension dans le bain liquide.","Oui","avec candidat-termes","FR/Volcan/Vulgarisation/corpusFR","est un mélange","trois phases","magma"
"65","X {être/résulter de/issu de} DET {amalgame/mélange/agrégat/complexe/fédération} de DET Y","GENRE DES PARTIES","Parties de genre différent","Les données géochimiques supposent donc que les laves du cône sont issues du mélange de magmas de natures proches (andésites acides-dacites) mais de composition très différentes sur le plan des éléments en traces.","Oui","avec candidat-termes","FR/Volcan/Scientifique/44","sont issues du mélange","magma de natures proches","laves du cône"
"66","X {rapprocher/recueillir} DET Y","TYPE DE LIAISON","Rapprochement","Toutefois, il existe des imprévus qui peuvent désorganiser le planning et prolonger votre attente. Un manipulateur de radiologie recueille la lettre de votre médecin et vos examens radiologiques mammaires. Il vous explique le déroulement de l'examen.","Non","manipulateur de radiologie : humain : recueille la lettre, c'est-à-dire, prend la lettre. Pas de lien de méronymie.","FR/Cancer du sein/Vulgarisation/page17","recueille","",""
