"27","CREATION","créer","conduire à","ou 3 + en immunohistochimie (IHC), contrôlé secondairement par FISH [31] (tableau 11). Des résultats très prometteurs ont été observés et ont conduit au développement d’essais randomisés en situation adjuvante dans les tumeurs avec surexpression de HER2. Dans l’essai BCIRG 0006","plutôt non","pas pertinent","FR/Cancer du sein/Scientifique/page32","Cancer du sein","Scientifique","conduit au"," la séquence radio-chimiothérapie","ce risque"
"28","CREATION","créer","conduire à","révéler rapidement incontournables pour épargner le myocarde et les artères coronaires. En effet, l’atteinte coronarienne se traduit par une hyperplasie fibromusculaire endoluminale (prolifération intimale) pouvant conduire à une aggravation du risque d’ischémie coronarienne chez les patientes irradiées et ayant d’autres facteurs de risque d’athérosclérose (","oui","","FR/Cancer du sein/Scientifique/page4","Cancer du sein","Scientifique","conduire à une","une hyperplasie fibromusculaire endoluminale ","une aggravation du risque d’ischémie coronarienne "
"29","CREATION","créer","conduire à","attendue et a été menée par l’équipe de Tsutsui et al. [11]. Le marquage immunohistochimique des deux récepteurs pour une population de 670 patientes a conduit à l’ identification de quatre groupes : REGF- et HER2- pour 417 patientes, REGF + et HER2- pour 136 patientes,","oui","","FR/Cancer du sein/Scientifique/page40","Cancer du sein","Scientifique","conduit à l’","les consultations téléphoniques","les résultats"
"30","CREATION","créer","conduire à",", non seulement PI3K phosphoryle et active RE mais REα est capable d’interagir avec la sous-unité p85a de PI3K au niveau de la membrane cellulaire ; cette interaction RE-PI3K conduit à l’ activation de PI3K et à celle de la kinase AKT. La relation inversement significative que nous avons antérieurement mise","oui","","FR/Cancer du sein/Scientifique/page40","Cancer du sein","Scientifique","conduit à l’","l'équilibre entre ces deux séries d'AGPI","l'apparition du cancer du sein"
"31","CREATION","créer","conduire à","mouvements respiratoires Les mouvements de la tumeur et des organes intrathoraciques lors de la respiration sont théoriquement une cause potentielle d'échec de la radiothérapie des cancers mammaires. Ils conduisent à une incertitude balistique responsable d'une couverture insuffisante des limites du volume cible anatomoclinique, et en conséquence de la délivrance","plutôt oui","","FR/Cancer du sein/Scientifique/page404","Cancer du sein","Scientifique","conduisent à une","la deuxième rechute locale","la survie sans métastase"
"32","CREATION","créer","conduire à","27 patientes enregistre une diminution moyenne de la fréquence et du score de bouffées de chaleur de 67 % et 75 % au prix d’une toxicité non négligeable ayant conduit à l’ arrêt du traitement dans trois cas (2 pour somnolence et 1 pour anxiété) et à la diminution des","oui","","FR/Cancer du sein/Scientifique/page49","Cancer du sein","Scientifique","conduit à l’"," le délai d’apparition de la rechute locale ","le contrôle local"
"33","CREATION","créer","conduire à","aussi de l’application des résultats de la recherche fondamentale et clinique dans la pratique quotidienne. La nécessité de proposer des soins de qualité à tous les patients a conduit à une volonté d’harmonisation par une normalisation des pratiques. Pour répondre à cet objectif, deux outils ont été développés","plutôt non","pas pertinent ","FR/Cancer du sein/Scientifique/page6","Cancer du sein","Scientifique","conduit à une","la récidive sous forme de composante infiltrante","l'apparition de nouvelles récidives locales"
"34","CREATION","créer","conduire à","cancer du sein Les facteurs de risque du cancer du sein liés à la vie génitale Les cycles menstruels … La réduction de la durée totale de la période ovulatoire conduit à un risque de cancer plus faible. Les femmes ayant eu leurs règles très jeunes, avant l'âge de 12","oui","","FR/Cancer du sein/Vulgarisation/page50","Cancer du sein","Vulgarisation","conduit à un","Les facteurs de la vie reproductive de la femme","le risque de cancer du sein"
"35","CREATION","créer","conduire à","du sein diagnostiqués chez les non-utilisatrices. L’augmentation observée des cancers du sein pourrait être simplement la conséquence d’une meilleure surveillance des femmes utilisant un contraceptif oral, conduisant à un diagnostic plus précoce. Que pensez ? Les femmes désirant utiliser des contraceptifs oraux doivent discuter avec leur médecin de","oui","","FR/Cancer du sein/Vulgarisation/page50","Cancer du sein","Vulgarisation","conduisant à un","les doses préalables d’anthracyclines","Cette cardiotoxicité modérée spécifique du trastuzumab"
"36","CREATION","créer","conduire à",") ami (e) est aussi le bienvenu. La présence d'un parent ou d'un (e) ami (e) est quelquefois utile pour vous conduire à votre traitement. Sa présence pourra à vous sentir moins tendu pendant le trajet et la durée du traitement. Il","non","","FR/Cancer du sein/Vulgarisation/page56","Cancer du sein","Vulgarisation","conduire à votre","l'utilisation d'une quelconque thérapeutique","l'autre pathologie"
"37","CREATION","créer","conduire à","grand risque de problèmes sexuels après un cancer du sein : 4 La sensation de plaisir par le toucher du mamelon disparaît dans un sein reconstruit. Le nerf qui conduit le plaisir au mamelon circule dans le tissu profond du sein et il est sectionné au cours de l'intervention. Un mamelon","non","","FR/Cancer du sein/Vulgarisation/page57","Cancer du sein","Vulgarisation","conduit le plaisir au","l’arrêt du trastuzumab à 9 semaines","la toxicité cardiaque potentielle des anthracyclines administrées"
"38","CREATION","créer","conduire à","L’administration massive entraîne par saturation des sites récepteurs de l'hypophyse, l'interruption de la production d'androgènes par le testicule puisqu'il n'y a plus de LH pour se lier à ses récepteurs sur les cellules de Leydig. Elle conduit à une véritable castration chimique. L'effet de l'administration continue de GnRH est généralement réversible en deux mois environ après","plutôt oui","","FR/Cancer du sein/Vulgarisation/page59","Cancer du sein","Vulgarisation","conduit à une","",""
"39","CREATION","créer","conduire à","sodium et de soude, qui absorbent les acides chlorhydrique et fluorhydrique gazeux : après prélèvement, le contenu du filtre est dissous dans l’eau et l’analyse est conduite en pH neutre à l’ aide de deux électrodes spécifiques respectivement des ions Cl "" et des ion F "". Dans le module B","non","","FR/Volcan/Scientifique/11","Volcan","Scientifique","conduite en pH neutre à l’","le degré de dissection des ganglions axillaires"," la survenue d’une pathologie du membre supérieur"
"40","CREATION","créer","conduire à","relative d’une atmosphère homogène devait être voisine de 70 %. Le panache ajoute donc approximativement lg / m3 de vapeur d’eau à l’air ambiant ce qui conduit à un rapport H20 / S02 de l’ordre de 100, très voisin de celui que nous obtenions les années précédentes","plutôt non","","FR/Volcan/Scientifique/11","Volcan","Scientifique","conduit à un","un facteur","la survenue d'un lymphoedème"
"41","CREATION","créer","conduire à","atmosphérique des métaux en trace par Lantzy et al., 1979). Une mesure de concentration d’un corps chimique dans une fumerolle isolée ne peut selon nous conduire à une précision acceptable lors de telles extrapolations. La méthode proposée ci-dessus (Fig. 1) est actuellement la seule","plutôt non","","FR/Volcan/Scientifique/11","Volcan","Scientifique","conduire à une","",""
"42","CREATION","créer","conduire à","non à une remontée de magma en profondeur, est susceptible de provoquer une éruption phréatique en surface. A fortiori on peut supposer que les changements internes du volcan conduisant à une éruption magmatique seront précédés inévitablement des phénomènes phréatiques. — que les phénomènes effiisifs visqueux (coulées de lave et","oui","","FR/Volcan/Scientifique/12","Volcan","Scientifique","conduisant à une","",""
"43","CREATION","créer","conduire à","par les méthodes de surveillance géophysiques et géochimiques. On sait toutefois que le développement d’une éruption volcanique en région d’arc insulaire ou de marge continentale, ne conduit pas inévitablement à la production de nuées ardentes (cf. Tableau 2). Encore une fois cela dépend du volcan lui-même.","oui","négation","FR/Volcan/Scientifique/12","Volcan","Scientifique","conduit pas inévitablement à la","les facteurs","la formation des séromes"
"44","CREATION","créer","conduire à","plus ou moins visibles) et le second temps à celle des gaz inclus (dans les édifices cristallins). Après chaque refroidissement, la pesée de la nacelle conduisait à l’ évaluation de la perte de poids. Le volume de chacune des deux fractions gazeuses, obtenues à partir d’","non","pas pertinent","FR/Volcan/Scientifique/14","Volcan","Scientifique","conduisait à l’","",""
"45","CREATION","créer","conduire à","un nombre bien plus considérable de blocs, certains ayant jusqu’à 30 centimètres de diamètre. Les blocs tombèrent jusqu’à 1600 mètres du cratère et le chemin qui conduisait de l’Observatoire au cône central fut largement oblitéré par les matériaux projetés (ARCIDIACONO, 1900 ; De Fiore, 1912).","non","","FR/Volcan/Scientifique/16","Volcan","Scientifique","conduisait de l’Observatoire au","",""
"46","CREATION","créer","conduire à","réduisent aux cristallisations de soufre. Dans les strates profondes des terrains, PH2S donne naissance à des minéralisations de pyrite et de marcasite, en surface, l’oxydation conduit à la formation d’abondants sulfates qui émaillent les roches (gypse, jarosite). Sur la plage, l’apport","oui","","FR/Volcan/Scientifique/23","Volcan","Scientifique","conduit à la","le statut hormonal tumoral"," l’expression de Cox2"
"47","CREATION","créer","conduire à","nous permet de discerner un basalte (s. l.) qui va donner lieu à un épanchement lavique banal, d’un basalte qui va subir une autofragmentation conduisant à un écoulement pyroclastique. Nous avons pu observer des cas de bréchification avec presque tous les types de laves basaltiques présents","oui","","FR/Volcan/Scientifique/29","Volcan","Scientifique","conduisant à un","la crainte du cancer","vous / une personne"
"48","CREATION","créer","conduire à","datations, effectuées par la méthode K / Ar, et les observations structurales concernant les principaux réseaux filoniens récents de Sardaigne. L’analyse structurale et géochronologique des dykes conduit à la mise en évidence de l’évolution du champ des contraintes principales. Ces résultats sont discutés dans le contexte des","plutôt oui","","FR/Volcan/Scientifique/37","Volcan","Scientifique","conduit à la","",""
"49","CREATION","créer","conduire à","de SVl et SV2 avec expulsion de la chambre profonde. Là encore, les travaux sur la période récente montrent qu’il apparaît plutôt lié à deux processus complémentaires conduisant progressivement à une surpression dans le réservoir : — d’une part, un enrichissement en volatils reflété par le caractère cyclique de","oui","","FR/Volcan/Scientifique/38","Volcan","Scientifique","conduisant progressivement à une","votre façon de penser","votre vision de vous-même"
"50","CREATION","créer","conduire à","Les covariations des éléments majeurs montrent (i) une décroissance des teneurs, en MgO, CaO, FeOt et TiO2 des basaltes, jusqu'aux termes les plus évolués de chaque série, en relation avec la cristallisation de l'olivine, du clinopyroxène, du plagioclase puis des oxydes de Fe-Ti, (ii) une augmentation de K2O, Na2O et SiO2, en accord avec la différenciation magmatique conduisant à un liquide résiduel franchement alcalin, et (iii) une augmentation régulière de Al2O3 et P2O5 des basaltes aux mugéarites","plutôt oui","à vérifier","FR/Volcan/Scientifique/autre2","Volcan","Scientifique","conduisant à un","votre attitude","Les vomissements « anticipatoires »"
"51","CREATION","créer","conduire à","l’Homme et 1128 ± 2 mg / l pour S2). L’hydrolyse des différents minéraux constitutifs des roches du substratum dans lequel les eaux analysées circulent, conduit à la formation d’argile, à la perte de silice et à la libération des éléments alcalins (K +,","oui","","FR/Volcan/Scientifique/bard1","Volcan","Scientifique","conduit à la","l'âge de la patiente, l'image qu'elle a de son corps, ","le choix du traitement"
"76","CREATION","créer","conduire à","puis des oxydes ferrotitanés et de l’apatite. D’autre part, une croissance des teneurs en SiO2, Al2O3, Na2O et K2O, matérialise la différenciation magmatique conduisant à un liquide résiduel franchement alcalin. Les éléments en traces compatibles (figure 3), Co, Cr, Ni","plutôt oui","","FR/Volcan/Scientifique/bard5","Volcan","Scientifique","conduisant à un","",""
"77","CREATION","créer","conduire à","d'épaisseur, amincie d'environ 40 km par rapport à celle des zones environnantes. L'étude des enclaves de lherzolite remontées par les volcans de l'Adamaoua a conduit aux mêmes conclusions. Les plus anciennes manifestations volcaniques connues dans l'Adamaoua remontent au Miocène. Des sols ferrallitiques rouges","Plutôt non","pas pertinent. LST","FR/Volcan/Scientifique/geo11","Volcan","Scientifique","conduit aux","co-régulateur","fonctions des RE"
"78","CREATION","créer","conduire à","origine des « faciès émulsionnés », Les roches volcaniques rubanées relèvent du même phénomène ; la lame mince y révèle des textures micro-émulsionnées. L’évolution logique du mélange conduit à un faciès homogène, c’est-à-dire homogénéisé par un brassage mécanique poussé. La Chaîne dés Puys offre quelques bons exemples","plutôt oui","","FR/Volcan/Scientifique/geo16","Volcan","Scientifique","conduit à un","oestrogène","risque génétique"
"79","CREATION","créer","conduire à",". G. M. et son Service Géologique de l’Océan Indien, grâce à un travail d’archives et une cartographie détaillée des coulées historiques (5) conduisant à l’ établissement d’un fichier informatique, contribuent à l’évaluation du risque volcanique au niveau du Piton de la Fournaise","non","","FR/Volcan/Scientifique/geo2","Volcan","Scientifique","conduisant à l’","",""
"80","CREATION","créer","conduire à","six vraisemblablement. Il demeure que ce modèle n’est pas universel. Nombre d'éruptions explosives n’apparaissent pas liées à un quelconque mélange. Et parfois certains mélanges conduisent à une émission de lave de type effusif, sous la forme d’un dôme. L’eau et l’effet amphibole","plutôt oui","","FR/Volcan/Scientifique/geo3","Volcan","Scientifique","conduisent à une","",""
"82","CREATION","créer","conduire à","conduit éruptif avec le magma père. Il convient également de tenir compte de la diffusion des fluides ainsi libérés au sein du magma. Un taux de diffusion faible conduit à la formation d’une poche de fluides autour de l’amphibole en voie de déstabilisation ce qui freine le processus par","plutôt oui","","FR/Volcan/Scientifique/geo3","Volcan","Scientifique","conduit à la","",""
"83","CREATION","créer","conduire à","faible conduit à la formation d’une poche de fluides autour de l’amphibole en voie de déstabilisation ce qui freine le processus par effet tampon. Un taux élevé conduit à une dilution totale des fluides dans le magma. Dans les cas intermédiaires, les volatils libérés diffusent modérément, se","oui","","FR/Volcan/Scientifique/geo3","Volcan","Scientifique","conduit à une","",""
"84","CREATION","créer","conduire à","cours d’ascension. Ce transfert de chaleur réchauffe néanmoins la nappe d’eau souterraine qui, en se vaporisant, augmente brusquement de volume et crée une surpression énorme conduisant parfois à l’ explosion de l’édifice volcanique : on parle alors d’une éruption phréatique. Le magma peut éventuellement à la","oui","","FR/Volcan/Scientifique/geo3","Volcan","Scientifique","conduisant parfois à l’","",""
"85","CREATION","créer","conduire à","et géochimiques laissent plutôt penser que les modalités de la circulation convective sont plus complexes (fig 2). L’asthénosphère pourrait être le siège de cellules plus petites conduisant à l’ ouverture des dorsales océaniques. La lithosphère subductée (ou subduite) pourrait, si elle est relativement peu âgée","oui","","FR/Volcan/Scientifique/geo5","Volcan","Scientifique","conduisant à l’","",""
"86","CREATION","créer","conduire à","km) pour qu’un début de fusion apparaisse entre les grains de la roche. La composition du liquide est différente de celle de la péridotite du départ et conduit à la formation d’un magma primitif basaltique. Le taux de fusion n’atteint qu’exceptionnellement 20 % et se situe","oui","","FR/Volcan/Scientifique/geo5","Volcan","Scientifique","conduit à la","",""
"87","CREATION","créer","conduire à","). Elles peuvent être saturées ou sous-saturées en Si02- Elles caractérisent les laves des îles intra-océaniques, une fois que le taux de fusion s’est réduit et ne conduit plus à la production de tholéiites, mais aussi le magmatisme des rifts intracontinentaux. Toutefois, si la production magmatique de ces","plutôt oui","","FR/Volcan/Scientifique/geo5","Volcan","Scientifique","conduit plus à la","",""
"88","CREATION","créer","conduire à","dorsale encore actif et producteur de MORB. La relative abondance des fluides présents dans les magmas d’arc et une différentiation magmatique plus généralisée à partir du basalte primitif conduit à l’ éruption de magmas riches en gaz et de nature intermédiaire ou acide (laves plus visqueuses). Le style","oui","négation","FR/Volcan/Scientifique/geo5","Volcan","Scientifique","conduit à l’","",""
"89","CREATION","créer","conduire à","d’un point chaud. 4. La découverte de mécanismes inclassables. La parfaite expressivité morphogénique frontalière enregistrée par les nouvelles imageries du fond (voir encadré) a conduit à l’ identification de mécanismes morphostructurants inaperçus jusque-là. Parmi ceux-ci, on retiendra, au premier chef : l’érosion sous-crustale","oui","","FR/Volcan/Scientifique/geo6","Volcan","Scientifique","conduit à l’","",""
"90","CREATION","créer","conduire à","d’un modèle a priori, et la tentation est forte d’avoir recours à un ensemble de phénomènes distincts. On peut aussi prendre une approche systématique qui ne conduit pas immédiatement à un modèle explicatif détaillé. La cristallisation d’un système fermé fait intervenir des effets divers et mal compris, dont","Plutôt non","pas pertinent","FR/Volcan/Scientifique/geo8","Volcan","Scientifique","conduit pas immédiatement à un","",""
"91","CREATION","créer","conduire à","les minéraux essentiels des cumulats, coexistent des éléments mineurs et en traces, tels Cr, Ni, Cu et les platinoïdes dont la concentration extrême et la précipitation conduiront à l’ apparition de gisements. Si certains de ces éléments, comme Cr et Ni, peuvent entrer dans le réseau","oui","","FR/Volcan/Scientifique/geo8","Volcan","Scientifique","conduiront à l’","",""
"92","CREATION","créer","conduire à","car issues de magmas distincts ? Dans ce dernier cas, le mélange des magmas (sous certaines conditions) provoquerait la saturation en soufre du magma résultant. Ceci conduirait à l’ individualisation d’une matte sulfurée immiscible à partir de laquelle cristalliseraient les sulfures de métaux de base. Mais force","plutôt oui","ceci : un énoncé","FR/Volcan/Scientifique/geo8","Volcan","Scientifique","conduirait à l’","",""
"93","CREATION","créer","conduire à","parmi les dernières à cristalliser, comme cela a été mis en évidence dans les ophiolites d’Albanie. Les travaux d’exploration sur Madagascar menés par le BRGM ont conduit à la découverte d’un troisième type de gisement plati-nifère qui n’est associé directement ni aux chromitites, ni aux SMB","Plutôt non","pas pertinent","FR/Volcan/Scientifique/geo8","Volcan","Scientifique","conduit à la","",""
"94","CREATION","créer","conduire à","rend compte de la chronologie de formation des gisements de chromite, de sulfures de métaux de base (SMB) et de platinoïdes. L’évolution du système minéralisant conduira d’abord à la formation de gisements de chromite dont la nature métallurgique ou réfractaire variera avec la composition du magma silicaté. Si","oui","","FR/Volcan/Scientifique/geo8","Volcan","Scientifique","conduira d’abord à la","",""
"132","CREATION","créer","conduire à","soufre, ce qui est le cas dans les ophiolltes et les intrusions alaskéennes, le comportement sidérophile des EGP,. en particulier de Pt, va être-favorisé, conduisant à la cristallisation d’alliages (isoferroplàtine) que l’on trouve ordinairement associés aux chromitites tardives. Si le système est","oui","","FR/Volcan/Scientifique/geo8","Volcan","Scientifique","conduisant à la","",""
"133","CREATION","créer","conduire à","concentrations de SMB et d’EGP peut être important. Après le dépôt des SMB, la migration d’un fluide résiduel riche en EGP et autres métalloïdes volatils pourra conduire à la formation de minéralisations piatinifères, le plus souvent arséniées. Ce procédé illustre le fractionnement du système minéralisant lié à","oui","","FR/Volcan/Scientifique/geo8","Volcan","Scientifique","conduire à la","",""
"134","CREATION","créer","conduire à","plus ou moins accusé et les différentes minéralisations peuvent se trouver dans le même horizon. L’individualisation d’un fluide résiduel riche en EGP et en métalloïdes volatils peut conduire à la formation de concentrations de platinoïdes non directement associées aux chromitites et aux gisements de sulfures de métaux de base.","oui","","FR/Volcan/Scientifique/geo8","Volcan","Scientifique","conduire à la","",""
"135","CREATION","créer","conduire à","des volcanologues (entre autres François Le Guern du CNRS)... Le long de la route pavée, à 3 km au Sud de Portela, le sentier qui conduit au sommet du Pico Pequeno est bien indiqué, et, en général, très fréquenté. On traverse d’abord","non","","FR/Volcan/Scientifique/lave100","Volcan","Scientifique","conduit au","",""
"136","CREATION","créer","conduire à","route nationale 1 en direction de l’Est, on trouve un grand poteau indicateur « Krafla » et une route sur la gauche de 7 km en terre battue conduisant vers le Nord à une centrale géothermique puis à gauche, après la centrale, à un parking situé à côté du volcan. Références","non","","FR/Volcan/Scientifique/lave102","Volcan","Scientifique","conduisant vers le Nord à une","",""
"137","CREATION","créer","conduire à",". Figure 1 : L'île du nord de Nouvelle-Zélande est située à l'aplomb d'une zone de subduction et d'un point chaud. La zone de subduction conduit à la formation d'un arc volcanique avec la formation de strato-volcans au parc national du Tongariro et de volcans inversés à","Plutôt oui","","FR/Volcan/Scientifique/lave7","Volcan","Scientifique","conduit à la","",""
"138","CREATION","créer","conduire à","océanique dense se trouve face à une plaque de "" type "" continental plus légère. Dans les zones de collision, deux croûtes continentales entrent en contact. Ceci conduit à la formation de montagnes telles que les Alpes ou l'Himalaya. L'île du Nord de Nouvelle-Zélande est parsemée de","plutôt oui","ceci : un énoncé","FR/Volcan/Scientifique/lave7","Volcan","Scientifique","conduit à la","",""
"140","CREATION","créer","conduire à","entre 90 et 60 Ma, puis, à partir de l’Eocène (50 Ma), jusqu’à l’époque actuelle, s’ensuit la collision qui a conduit à la formation des Alpes. Les séries ophiolitiques occupent de vastes territoires dans la partie nord-est de l’île. Associées","oui","","FR/Volcan/Scientifique/ophiolites","Volcan","Scientifique","conduit à la","",""
"141","CREATION","créer","conduire à",", et ensuite, à l’Eocène, la collision du promontoire nord de l’Afrique (le micro-continent Apulie) et de l’Eurasie. Cette collision qui a conduit à la formation des Alpes se poursuit encore de nos jours. Compte tenu de ces faits, l’océan liguro-piémontais n’","oui","","FR/Volcan/Scientifique/ophiolites","Volcan","Scientifique","conduit à la","événement explosif","déferlante ponceuse"
"142","CREATION","créer","conduire à","et dans les haldes on pourra faire son marché d’échantillons. Quittant Montaretto en direction de Levanto, au carrefour de Bonassola, un chemin, à gauche, conduit à l’ ancienne carrière de Galli (cava Galli). Devenue propriété privée, il est difficile d’y pénétrer,","non","","FR/Volcan/Scientifique/ophiolites","Volcan","Scientifique","conduit à l’","","des lahars primaires"
"143","CREATION","créer","conduire à","cortège ophiolitique qui affleure, certes par fragments ou par panneaux, mais toujours de façon très nette et en général très accessible. La reconstitution des événements tectoniques ayant conduit à l’ empilement actuel des nappes a fait l’objet de nombreux travaux, et de controverses ; mais le principe de","oui","","FR/Volcan/Scientifique/ophiolites","Volcan","Scientifique","conduit à l’","",""
"144","CREATION","créer","conduire à","accès. Non loin de la côte d’Antalya, la tectonique a transporté des fragments de séries volcaniques et sédimentaires, témoins de la phase de rifting initial ayant conduit à la formation de la Téthys. C’est dans le massif du Calbali Dag que seront observés entre autres les pillow-lavas","oui","","FR/Volcan/Scientifique/ophiolites","Volcan","Scientifique","conduit à la","",""
"145","CREATION","créer","conduire à","de ces structures faillées. D'un côté, sous la caldeira des champs Phlégréens, les températures sont plus hautes, la circulation de fluides chauds dans les roches conduirait à la présence de gaz. De l'autre, sous le Vésuve, la circulation de fluides froids provenant des Apennins","oui","","FR/Volcan/Scientifique/puzzle_volcans2","Volcan","Scientifique","conduirait à la","",""
"146","CREATION","créer","conduire à","calibration, donne un âge compris dans l'intervalle [9550–9320] avant nous View the MathML source. Bien que, en toute rigueur, l'opération de calibration conduise seulement à une distribution de probabilités, on admet, pour la commodité des exposés, que le centre de l'intervalle est","plutôt non","","FR/Volcan/Scientifique/volcansDesPuys2","Volcan","Scientifique","conduise seulement à une","",""
"147","CREATION","créer","conduire à","± 100 BP, soit un âge réel de 9270 ± 280 ans. Pour le puy Chopine, la moyenne pondérée, à savoir 8672 ± 40 BP, conduit à un âge moyen de 9700 ± 115 ans. Il faut noter que, dans les trois cas, on fait","non","","FR/Volcan/Scientifique/volcansDesPuys2","Volcan","Scientifique","conduit à un","",""
"148","CREATION","créer","conduire à","mer que si la sortie des laves se fait à faible profondeur (île Surtsey, surgie au large de l'Islande en 1963, manifestation de la dorsale atlantique conduisant à la définition du type surtseyen, fig. 9. 5). Sinon la colonne d'eau exerce une pression","plutôt non","","FR/Volcan/Vulgarisation/corpusFR","Volcan","Vulgarisation","conduisant à la","",""
"149","CREATION","créer","conduire à","colonne d'eau exerce une pression suffisante pour interdire le dégazage explosif du magma. Les laves se refroidissent alors brutalement en se couvrant d'une croûte vitreuse ce qui conduit aux laves en coussins ou "" pillowlavas "". Connues depuis très longtemps dans les associations ophiolitiques (massif du Chenaillet-Montgenève","oui","","FR/Volcan/Vulgarisation/corpusFR","Volcan","Vulgarisation","conduit aux","",""
"151","CREATION","créer","conduire à","granules vitreux qui se déposent ensuite, mélangés aux roches encaissantes (Kieffer, Tricot, Vincent). Ces cheminées de roches bréchiques ou diatrèmes peuvent rester hypogées ou conduire à la formation de maars. Un dernier aspect classique des coulées basaltiques (mais qui se retrouve dans d'autres laves","oui","","FR/Volcan/Vulgarisation/corpusFR","Volcan","Vulgarisation","conduire à la","",""
"152","CREATION","créer","conduire à","de lapillis, de bombes et de blocs. La lave est visqueuse, et sort difficilement (Vulcano, îles Lipari). Les explosions sont fréquentes, pouvant conduire à la destruction de l'ancien cratère ou à la formation d'un nouveau, parfois excentrique (Pariou, Vésuve)","oui","","FR/Volcan/Vulgarisation/corpusFR","Volcan","Vulgarisation","conduire à la","des investissements","une augmentation"
